Team,Role,Player,Nationality,Status
eArena,Top Lane,SRY,Thailand,Main
eArena,Jungler,NBank,Thailand,Main
eArena,Middle,QQ,Thailand,Main
eArena,Bottom Lane,Negan,Thailand,Main
eArena,Roamer,Pichu,Thailand,Main
eArena,Top Lane,Pantwopann,Thailand,DNP
eArena,Jungler,Exolar,Thailand,DNP
eArena,Bottom Lane,Youngdum,Thailand,DNP
Bacon Time,Top Lane,MarkKy,Thailand,Main
Bacon Time,Jungler,Erez,Thailand,Main
Bacon Time,Middle,Kimsensei,Thailand,Main
Bacon Time,Bottom Lane,Opar,Thailand,Main
Bacon Time,Roamer,TaoX,Thailand,Main
Bacon Time,Jungler,Myra,Thailand,DNP
Buriram United Esports,Top Lane,Littleboyz,Thailand,Main
Buriram United Esports,Jungler,PogPog,Thailand,Main
Buriram United Esports,Middle,NuNu,Thailand,Main
Buriram United Esports,Bottom Lane,Ligky,Thailand,Main
Buriram United Esports,Roamer,Deawwy,Thailand,Main
Buriram United Esports,Jungler,Kanashi,Thailand,Main
TALON,Top Lane,BASKUNG,Thailand,Main
TALON,Jungler,AlmondP,Thailand,Main
TALON,Middle,KrataiA,Thailand,Main
TALON,Bottom Lane,DemonCat,Thailand,Main
TALON,Roamer,Difoxn,Thailand,Main
TALON,Top Lane,NTNz,Thailand,Main
TALON,Jungler,Cinderella,Thailand,King of Gamers Club / Loan
TALON,Middle,Psocute,Thailand,DNP
TALON,Middle,IpodPro,Thailand,Main
TALON,Roamer,Tony,Thailand,LEFT
TALON,Roamer,Givemeakiss,Thailand,DNP
FULL SENSE,Top Lane,AshEarth,Thailand,Main
FULL SENSE,Jungler,Overone,Thailand,Main
FULL SENSE,Middle,Agetsive,Thailand,Main
FULL SENSE,Bottom Lane,Sharkz,Thailand,Main
FULL SENSE,Roamer,Noar,Thailand,Main
FULL SENSE,Substitute,SARA,Thailand,DNP
PSG Esports,Top Lane,4Savage,Thailand,Main
PSG Esports,Jungler,Bonus,Thailand,Main
PSG Esports,Middle,Fakeplayz,Thailand,Main
PSG Esports,Bottom Lane,Deboom,Thailand,Main
PSG Esports,Roamer,Acapae,Thailand,Main
PSG Esports,Bottom Lane,Namcs,Thailand,Main
Hydra Esports,Top Lane,DarkFarook,Thailand,Main
Hydra Esports,Jungler,KenKen,Thailand,Main
Hydra Esports,Middle,Psocute,Thailand,Main
Hydra Esports,Bottom Lane,PPKAZ,Thailand,King of Gamers Club / Loan
Hydra Esports,Roamer,Kamusari,Thailand,Main
Hydra Esports,Jungler,April,Thailand,LEFT
Hydra Esports,Middle,Darkcooper,Thailand,LEFT
Hydra Esports,Bottom Lane,Skye,Thailand,Main
Hydra Esports,Bottom Lane,JellyJane,Thailand,Main
King of Gamers Club,Top Lane,Jakkapat,Thailand,Main
King of Gamers Club,Jungler,April,Thailand,Hydra Esports / Loan
King of Gamers Club,Middle,JDai,Thailand,Main
King of Gamers Club,Bottom Lane,Danunai,Thailand,Main
King of Gamers Club,Roamer,PJ,Thailand,Main
King of Gamers Club,Middle,PuPu,Thailand,DNP
King of Gamers Club,Jungler,Pmons,Thailand,DNP
King of Gamers Club,Jungler,Sumpeng,Thailand,Main
King of Gamers Club,Bottom Lane,PPKAZ,Thailand,DNP
